id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
39287,Argentina,Capital Federal,Puerto Madero,3,2,3,,,420000
39288,Argentina,Capital Federal,San Nicolás,3,2,1,80,65,145000
39289,Argentina,Capital Federal,Barrio Norte,4,2,1,87,87,270000
39290,Argentina,Capital Federal,Colegiales,3,2,1,,40,95000
39291,Argentina,Capital Federal,Colegiales,3,2,1,55,55,160000
39292,Argentina,Capital Federal,Caballito,3,2,,76,70,240000
39293,Argentina,Capital Federal,Caballito,3,2,2,122,64,300000
39294,Argentina,Capital Federal,Saavedra,3,2,1,77,70,180000
39295,Argentina,Capital Federal,Recoleta,3,2,2,72,69,243000
39296,Argentina,Capital Federal,Flores,3,2,1,60,55,147000
39297,Argentina,Capital Federal,Balvanera,2,1,1,35,35,59700
39298,Argentina,Capital Federal,Boca,3,2,1,,58,90000
39299,Argentina,Capital Federal,Balvanera,2,1,1,45,45,75000
39300,Argentina,Capital Federal,Palermo,4,3,2,187,154,500000
39301,Argentina,Capital Federal,Saavedra,2,1,1,40,37,113000
39302,Argentina,Capital Federal,Saavedra,2,1,1,,,87000
39303,Argentina,Capital Federal,Saavedra,2,1,1,,,105000
39304,Argentina,Capital Federal,Recoleta,2,1,1,35,35,100000
39305,Argentina,Capital Federal,Caballito,2,1,1,82,72,250000
39306,Argentina,Capital Federal,Villa del Parque,1,,1,38,35,100000
39307,Argentina,Capital Federal,Colegiales,3,,1,72,72,189000
39308,Argentina,Capital Federal,Monserrat,1,,1,46,46,105000
39309,Argentina,Capital Federal,Caballito,1,,1,30,,75000
39310,Argentina,Capital Federal,Balvanera,1,,1,22,22,59000
39311,Argentina,Capital Federal,Paternal,1,,1,40,36,89900
39312,Argentina,Capital Federal,Floresta,1,,1,39,35,63000
39313,Argentina,Capital Federal,Puerto Madero,1,,1,69,64,360000
39314,Argentina,Capital Federal,Abasto,3,2,2,,59,145000
39315,Argentina,Capital Federal,Caballito,2,1,1,55,55,139000
39316,Argentina,Capital Federal,Mataderos,2,1,1,52,47,88000
39317,Argentina,Capital Federal,Villa del Parque,2,1,1,50,45,140000
39318,Argentina,Capital Federal,Villa Urquiza,2,1,1,71,41,120000
39319,Argentina,Capital Federal,Villa Urquiza,1,1,1,28,23,60000
39320,Argentina,Capital Federal,Puerto Madero,2,1,1,153,153,1100000
39321,Argentina,Capital Federal,Villa Crespo,2,1,1,,,85000
39322,Argentina,Capital Federal,Villa Crespo,2,1,1,35,35,73000
39323,Argentina,Capital Federal,Caballito,2,1,1,36,32,82000
39324,Argentina,Capital Federal,Villa Crespo,2,1,1,38,35,120000
39325,Argentina,Capital Federal,San Nicolás,2,1,1,,32,62990
39326,Argentina,Capital Federal,Barrio Norte,2,1,1,34,32,85000
39327,Argentina,Capital Federal,Barrio Norte,2,1,1,45,35,120000
39328,Argentina,Capital Federal,Barrio Norte,2,1,1,33,33,78000
39329,Argentina,Capital Federal,Villa Luro,2,1,1,41,41,73000
39330,Argentina,Capital Federal,Versalles,2,1,1,,69,145000
